,FLT,FLT_next,REG,ITY,NAT,PAX,DES,ORG,start_time,end_time,arrival,towing,departure,stand,f,start,end,CGMS,prev,next,UID,disrupted,prev_stand,prev_start,prev_end
364,SQ469,SQ184,9VSTW,A333,PAX,0.0,SGN,CMB,2019-05-13 11:30:00,2019-05-13 13:30:00,0.0,0.0,1.0,F42,1.0,724.0,844.0,A9,tow,dpt,364,0,F42,724.0,844.0
365,SQ183,SQ446,9VSTW,A333,PAX,0.0,DAC,SGN,2019-05-13 18:55:00,2019-05-13 20:35:00,1.0,0.0,1.0,F40,1.0,1169.0,1269.0,E3,arr,dpt,365,0,F40,1169.0,1269.0
366,SQ656,SQ656,9VSCJ,B78X,PAX,0.0,FUK,,2019-05-13 00:00:00,2019-05-13 01:26:00,1.0,0.0,1.0,A15,1.0,34.0,120.0,A12,arr,dpt,366,0,A15,34.0,120.0
367,SQ655,SQ186,9VSCJ,B78X,PAX,0.0,SGN,FUK,2019-05-13 15:20:00,2019-05-13 17:25:00,1.0,0.0,1.0,E5,1.0,954.0,1079.0,F31,arr,dpt,367,0,E5,954.0,1079.0
368,SQ185,SQ185,9VSCJ,B78X,PAX,0.0,,SGN,2019-05-13 22:40:00,2019-05-13 23:59:00,1.0,0.0,0.0,C20,1.0,1394.0,1473.0,A11,arr,tow,368,0,C20,1394.0,1473.0
369,SQ930,SQ930,9VSSG,A333,PAX,0.0,SUB,,2019-05-13 00:00:00,2019-05-13 05:50:00,1.0,0.0,0.0,B3,1.0,34.0,384.0,F41,arr,tow,369,0,B3,34.0,384.0
370,SQ930,SQ930,9VSSG,A333,PAX,0.0,SUB,,2019-05-13 05:50:00,2019-05-13 07:50:00,0.0,0.0,1.0,E12,1.0,384.0,504.0,F41,tow,dpt,370,0,E12,384.0,504.0
371,SQ931,SQ188,9VSSG,A333,PAX,0.0,HAN,SUB,2019-05-13 13:30:00,2019-05-13 15:15:00,1.0,0.0,1.0,F31,1.0,844.0,949.0,E20,arr,dpt,371,0,F31,844.0,949.0
372,SQ187,SQ187,9VSSG,A333,PAX,0.0,,HAN,2019-05-13 23:00:00,2019-05-13 23:59:00,1.0,0.0,0.0,E20,1.0,1414.0,1473.0,E28,arr,tow,372,0,E20,1414.0,1473.0
373,SQ246,SQ207,9VSML,A359,PAX,0.0,MEL,BNE,2019-05-13 05:45:00,2019-05-13 07:45:00,1.0,0.0,1.0,A1,1.0,379.0,499.0,B1,arr,dpt,373,0,A1,379.0,499.0
